title,image,link
折线图-基础,01.png,https://mp.weixin.qq.com/s/P5Xxi5A_CwVSqfs9YTYykg
折线图-平滑,02.png,https://mp.weixin.qq.com/s/ad9_lSiUocNc0X6OeB3iPw
折线图-分组,03.png,https://mp.weixin.qq.com/s/dGfLcyKR1jDdPTmXmPc_tw
折线图-置信区间,04.png,https://mp.weixin.qq.com/s/u04UkXPjfbSmGWlfXqEJGQ
折线图-误差棒,05.png,https://mp.weixin.qq.com/s/2YhsYR__zzjl8iSVvMXr-Q
散点图-基础,06.png,https://mp.weixin.qq.com/s/hJm3-hjxpisTe0XNRw3f2Q
散点图-分组,07.png,https://mp.weixin.qq.com/s/iFf3dyJqD5wL8yh43o-SbA
散点图-拟合,08.png,https://mp.weixin.qq.com/s/hYKKLZeK9BIiDxP1RlV--Q
散点图-气泡,09.png,https://mp.weixin.qq.com/s/ViGtZnszBPlQixJ_UPcs6A
散点图-密度,10.png,https://mp.weixin.qq.com/s/qWeV4LmnsiYQd6p-0ZU5Bg
柱状图-基础,11.png,https://mp.weixin.qq.com/s/3GXMOKcXJcqJZ2ncsPp_5A
柱状图-分组,12.png,https://mp.weixin.qq.com/s/TMtvjTVqtzaY25pY2EQoqw
柱状图-堆叠,13.png,https://mp.weixin.qq.com/s/42JNUbvgWMPggkeQYfttiA
柱状图-分组堆叠,14.png,https://mp.weixin.qq.com/s/1T-jNGM3XBnKMDiXOVhvjw
柱状图-正负,15.png,https://mp.weixin.qq.com/s/60za9rWlw8rEW6XVhqEozg
箱线图-基础,16.png,https://mp.weixin.qq.com/s/xdI3AnlSwgiSEZRbYbmCYw
箱线图-分组,17.png,https://mp.weixin.qq.com/s/BEuqdjCkuLrshZagNXVbng
箱线图-散点,18.png,https://mp.weixin.qq.com/s/vL-hV7L7oDPT7mn2RdvhlQ
箱线图-小提琴,19.png,https://mp.weixin.qq.com/s/2q008Ehv5bLnPU_4tc35HQ
箱线图-配对,20.png,https://mp.weixin.qq.com/s/Gdrrjatgg27NcR0SItEK7Q
直方图-基础,21.png,https://mp.weixin.qq.com/s/oddAdE_jljU9oNzfu9lTIg
直方图-分组,22.png,https://mp.weixin.qq.com/s/RCQ7Y4pVurPvzZry6RWtfg
直方图-镜像,23.png,https://mp.weixin.qq.com/s/8OlHbe6g5ww7A7u8EPA_dA
直方图-高亮,24.png,https://mp.weixin.qq.com/s/pwA_RNMdjs5HK1h7gZI5jg
直方图-山脊线,25.png,https://mp.weixin.qq.com/s/TnKAFXNHYzXFoLx1K-_GKw
密度图-基础,26.png,https://mp.weixin.qq.com/s/ALIYt6ruaR6h8xvqtzrxmg
密度图-分组,27.png,https://mp.weixin.qq.com/s/Uko940MX--fpnosk7knryw
密度图-镜像,28.png,https://mp.weixin.qq.com/s/dMc9a3j8iwUpeyuUCupqwg
密度图-山脊线,29.png,https://mp.weixin.qq.com/s/5yWxIZn0wSJUZtmg-wRw6Q
密度图-堆叠,30.png,https://mp.weixin.qq.com/s/0FyqbyhcGMrZyySwKAXHFw
韦恩图-基础,31.png,https://mp.weixin.qq.com/s/WowCjbC-daXP7GTjp5xBIg
韦恩图-多组,32.png,https://mp.weixin.qq.com/s/StqugiNaNSgg74bhix-hHw
韦恩图-包含,33.png,https://mp.weixin.qq.com/s/u6V4ImKDzrnQwIgD-DlTeA
韦恩图-花瓣,34.png,https://mp.weixin.qq.com/s/wxGpPxtk98E6_IKFowxKTQ
韦恩图-UpSet,35.png,https://mp.weixin.qq.com/s/KhkCK1yQ1V6yQGL44uBK9w
饼状图-基础,36.png,https://mp.weixin.qq.com/s/ydaNMhC7ACkzY18OqgN9bg
饼状图-环形,37.png,https://mp.weixin.qq.com/s/6uUnTCqHAVi17IyRaCyV2g
饼状图-玫瑰,38.png,https://mp.weixin.qq.com/s/_guH6o8TFQFu_ui1oqQCTQ
饼状图-旭日,39.png,https://mp.weixin.qq.com/s/docyQHCyEPv71TFoRNb38g
饼状图-嵌套,40.png,https://mp.weixin.qq.com/s/gjpK4tGeV4T-IEs_-FMDAA
桑基图-基础,41.png,https://mp.weixin.qq.com/s/9yktqcLui5iCRt6Hk8hylA
桑基图-多层,42.png,https://mp.weixin.qq.com/s/Z77sxYBxQuWFmBbxW_Lzmw
桑基图-冲击,43.png,https://mp.weixin.qq.com/s/8FzTR7cmcZDhfdykFyaz4A
桑基图-波动,44.png,https://mp.weixin.qq.com/s/DwFMZdFj8kEdKo1NA7IfDQ
桑基图-和弦,45.png,https://mp.weixin.qq.com/s/KcoCC7lfgQkxFlPJQYbGig
热力图-基础,46.png,https://mp.weixin.qq.com/s/rC9RHgQHrCrUS38UVHhnSA
热力图-聚类,47.png,https://mp.weixin.qq.com/s/K-4LASC54OfU-x2385_Zig
热力图-密度,48.png,https://mp.weixin.qq.com/s/nnUAqRhCR5LZ07fMhMt2OA
热力图-相关性,49.png,https://mp.weixin.qq.com/s/2302idB9KzfivpYei1Pp5A
热力图-三角,50.png,https://mp.weixin.qq.com/s/yLvCzekBFtRrLvyXppFCdA
网络图-基础,51.png,https://mp.weixin.qq.com/s/OkE6_xyFc3nBV33IQJfl-w
网络图-分组,52.png,https://mp.weixin.qq.com/s/ejiOi-_Q6Nr7-9ySN0KkcQ
网络图-环状,53.png,https://mp.weixin.qq.com/s/g9r3f2Z9yQH5Tt0p7qMU9Q
网络图-树状,54.png,https://mp.weixin.qq.com/s/T9rMbXav-PbZT2yODeu1DQ
网络图-聚类,55.png,https://mp.weixin.qq.com/s/r-9ofmmbPMJ1lSQoDTCoRA
环状图-柱状,56.png,https://mp.weixin.qq.com/s/meNZ0Q_Ll333NZ2ejYgQYA
环状图-雷达,57.png,https://mp.weixin.qq.com/s/IBhT8yJQ8fW0LY96LQMtxg
环状图-连线,58.png,https://mp.weixin.qq.com/s/m0vAGRKnd39hyjzDutRPzA
环状图-热图,59.png,https://mp.weixin.qq.com/s/KoBm6kz5XXbFI9vsmzCsww
环状图-气泡,60.png,https://mp.weixin.qq.com/s/p5xbZxSKyWqZbvh0p36vxg
折线图-相关性,61.png,https://mp.weixin.qq.com/s/fhWueAI_AqMioQJ92VuARA
生存曲线图,62.png,https://mp.weixin.qq.com/s/itCy41v1OqzLnlrMSbJBng
棒棒糖图,63.png,https://mp.weixin.qq.com/s/jZqPWQqv2sPy82o5LM4nfQ
哑铃图,64.png,https://mp.weixin.qq.com/s/CN00GbeNf6C3RU3d4Ui6nw
表达量图,65.png,https://mp.weixin.qq.com/s/WhzUZldWhhkJxO5ddMpHAQ
柱状图-显著性,66.png,https://mp.weixin.qq.com/s/Z6NONCTFYqpB0SOYjLyF8Q
箱线图-显著性,67.png,https://mp.weixin.qq.com/s/j9-qW-jRkHWwTl05o6wgQw
直方图-密度,68.png,https://mp.weixin.qq.com/s/v8CGvvOjQ8TvSCmG94Skgg
曼哈顿图,69.png,https://mp.weixin.qq.com/s/k9sgA2gMeDcGNGYsgZnocA
QQ图,70.png,https://mp.weixin.qq.com/s/iqwzWFOlHIoDTnrotywLPQ
散点图-边际,71.png,https://mp.weixin.qq.com/s/VIasiBkP7Bb9hQAHrnlyyQ
mantel检验图,72.png,https://mp.weixin.qq.com/s/we5FWX87JMFbpIBdvYLJkg
火山图-基础,73.png,https://mp.weixin.qq.com/s/EhhXK9eY6w7mc7l0-akjdg
火山图-单细胞,74.png,https://mp.weixin.qq.com/s/KHE7-k5nXT-V_Bl-UKZifQ
GSEA图,75.png,https://mp.weixin.qq.com/s/da73TK1N0QHfdlPO4lz7og
三元图-基础,76.png,https://mp.weixin.qq.com/s/HbKfOM0ROYRZ8EivqpCkrw
三元图-密度,77.png,https://mp.weixin.qq.com/s/X2KZ0yziDurhs32EUMlDaw
平行线图,78.png,https://mp.weixin.qq.com/s/jGukV45HmQx5w8m-0QKMSA
仪表盘图,79.png,https://mp.weixin.qq.com/s/WFikb4Kn_iOwf-V6zCC3jw
词云图,80.png,https://mp.weixin.qq.com/s/uNdzKVevWBjDLSpun_oEEg
3D折线图-基础,81.png,https://mp.weixin.qq.com/s/B4pQFi9xWgckNxA3zQb3Yg
3D折线图-分组,82.png,https://mp.weixin.qq.com/s/BCWuIoRxf-UOQ4uRllfI1Q
3D折线图-渐变,83.png,https://mp.weixin.qq.com/s/o_VCLctle6RpCvL2Zm8PGQ
3D散点图-基础,84.png,https://mp.weixin.qq.com/s/JXD0mQAiRRB2xcd48RI7fg
3D散点图-分组,85.png,https://mp.weixin.qq.com/s/qPKV05yiY1v0xiYMfSKGHA
3D散点图-气泡,86.png,https://mp.weixin.qq.com/s/S5OzBdLpCmRCuUX-QhsUdQ
3D柱状图-基础,87.png,https://mp.weixin.qq.com/s/ySywSRnZJfMuAOcduL5JaA
3D柱状图-分组,88.png,https://mp.weixin.qq.com/s/27jDypGHmfHmShMYku6J6g
3D柱状图-堆叠,89.png,https://mp.weixin.qq.com/s/_q65Te6vXc6_8r1mSpmWug
3D直方图-基础,90.png,https://mp.weixin.qq.com/s/snWLbNnPI7ucCLfbBrL-YA
3D直方图-分组,91.png,https://mp.weixin.qq.com/s/OIuzkSlmt-XBSNJpj6cxEw
3D密度图-分组,92.png,https://mp.weixin.qq.com/s/ZAQvFO2hllNpfCpInCthJQ
3D饼状图-基础,93.png,https://mp.weixin.qq.com/s/V6-9KaVlSCMgl-Pq0qdryg
3D饼状图-裂开,94.png,https://mp.weixin.qq.com/s/mOOUcHSZ6sWfaA1KYI4hTA
3D热图,95.png,https://mp.weixin.qq.com/s/8naEuKSK57cAW-_70dVO9g
3D曲面-基础,96.png,https://mp.weixin.qq.com/s/7kW3O-Td_-HQoz_Xy4_FKA
3D曲面-多层,97.png,https://mp.weixin.qq.com/s/eaq4oicc7T-gtuZms5DR6g
3D形状,98.png,https://mp.weixin.qq.com/s/jFIkeiYcqOmaVdkhh0n7fg
3D地图,99.png,https://mp.weixin.qq.com/s/QZr1bqyO6WBxrxlZNJr_7Q
3D地球,100.png,https://mp.weixin.qq.com/s/dtuD_R7PSQIMCUH6i8GEng
